time (ms),Δθ (π),σ_θ (π)
107.079,-1.350,2.441e-03
107.279,-1.360,2.453e-03
107.478,-1.370,2.455e-03
107.678,-1.380,2.440e-03
107.878,-1.390,2.461e-03
108.078,-1.400,2.443e-03
108.278,-1.410,2.451e-03
108.478,-1.420,2.456e-03
108.678,-1.430,2.440e-03
108.878,-1.440,2.461e-03
109.077,-1.450,2.444e-03
109.277,-1.460,2.450e-03
109.477,-1.470,2.458e-03
109.677,-1.480,2.439e-03
109.877,-1.490,2.460e-03
110.077,-1.500,2.445e-03
110.277,-1.510,2.448e-03
110.476,-1.520,2.459e-03
110.676,-1.530,2.439e-03
110.876,-1.540,2.459e-03
111.076,-1.550,2.447e-03
111.276,-1.560,2.446e-03
111.476,-1.570,2.460e-03
111.676,-1.580,2.439e-03
111.876,-1.590,2.458e-03
112.075,-1.600,2.449e-03
112.275,-1.610,2.445e-03
112.475,-1.620,2.461e-03
112.675,-1.630,2.439e-03
112.875,-1.640,2.457e-03
113.075,-1.650,2.450e-03
113.275,-1.660,2.443e-03
113.474,-1.670,2.461e-03
113.674,-1.680,2.440e-03
113.874,-1.690,2.456e-03
114.074,-1.700,2.452e-03
114.274,-1.710,2.442e-03
114.474,-1.720,2.461e-03
114.674,-1.730,2.441e-03
114.874,-1.740,2.454e-03
115.073,-1.750,2.454e-03
115.273,-1.760,2.441e-03
115.473,-1.770,2.461e-03
115.673,-1.780,2.442e-03
115.873,-1.790,2.452e-03
116.073,-1.800,2.455e-03
116.273,-1.810,2.440e-03
116.472,-1.820,2.461e-03
116.672,-1.830,2.443e-03
116.872,-1.840,2.451e-03
117.072,-1.850,2.457e-03
117.272,-1.860,2.440e-03
117.472,-1.870,2.461e-03
117.672,-1.880,2.445e-03
117.872,-1.890,2.449e-03
118.071,-1.900,2.458e-03
118.271,-1.910,2.439e-03
118.471,-1.920,2.460e-03
118.671,-1.930,2.446e-03
118.871,-1.940,2.447e-03
119.071,-1.950,2.459e-03
119.271,-1.960,2.439e-03
119.470,-1.970,2.459e-03
119.670,-1.980,2.448e-03
119.870,-1.990,2.446e-03
120.070,-2.000,2.460e-03
120.270,-0.010,2.439e-03
120.470,-0.020,2.458e-03
120.670,-0.030,2.449e-03
120.870,-0.040,2.444e-03
121.069,-0.050,2.461e-03
121.269,-0.060,2.440e-03
121.469,-0.070,2.456e-03
121.669,-0.080,2.451e-03
121.869,-0.090,2.443e-03
122.069,-0.100,2.461e-03
122.269,-0.110,2.440e-03
122.468,-0.120,2.455e-03
122.668,-0.130,2.453e-03
122.868,-0.140,2.442e-03
123.068,-0.150,2.461e-03
123.268,-0.160,2.441e-03
123.468,-0.170,2.453e-03
123.668,-0.180,2.454e-03
123.868,-0.190,2.441e-03
124.067,-0.200,2.461e-03
124.267,-0.210,2.442e-03
124.467,-0.220,2.452e-03
124.667,-0.230,2.456e-03
124.867,-0.240,2.440e-03
125.067,-0.250,2.461e-03
125.267,-0.260,2.444e-03
125.466,-0.270,2.450e-03
125.666,-0.280,2.457e-03
125.866,-0.290,2.439e-03
126.066,-0.300,2.460e-03
126.266,-0.310,2.445e-03
126.466,-0.320,2.448e-03
126.666,-0.330,2.459e-03
126.866,-0.340,2.439e-03
127.065,-0.350,2.460e-03
127.265,-0.360,2.447e-03
127.465,-0.370,2.447e-03
127.665,-0.380,2.460e-03
127.865,-0.390,2.439e-03
128.065,-0.400,2.458e-03
128.265,-0.410,2.448e-03
128.464,-0.420,2.445e-03
128.664,-0.430,2.460e-03
128.864,-0.440,2.439e-03
129.064,-0.449,2.457e-03
129.264,-0.460,2.450e-03
129.464,-0.470,2.444e-03
129.664,-0.479,2.461e-03
129.864,-0.490,2.440e-03
130.063,-0.500,2.456e-03
130.263,-0.509,2.452e-03
130.463,-0.519,2.442e-03
130.663,-0.530,2.461e-03
130.863,-0.539,2.441e-03
131.063,-0.549,2.454e-03
131.263,-0.559,2.454e-03
131.462,-0.569,2.441e-03
131.662,-0.579,2.461e-03
131.862,-0.589,2.442e-03
132.062,-0.599,2.453e-03
132.262,-0.609,2.455e-03
132.462,-0.619,2.440e-03
132.662,-0.629,2.461e-03
132.862,-0.639,2.443e-03
133.061,-0.649,2.451e-03
133.261,-0.659,2.457e-03
133.461,-0.669,2.440e-03
133.661,-0.679,2.461e-03
133.861,-0.689,2.444e-03
134.061,-0.699,2.449e-03
134.261,-0.709,2.458e-03
134.460,-0.719,2.439e-03
134.660,-0.729,2.460e-03
134.860,-0.739,2.446e-03
135.060,-0.749,2.447e-03
135.260,-0.759,2.459e-03
135.460,-0.769,2.439e-03
135.660,-0.779,2.459e-03
135.860,-0.789,2.448e-03
136.059,-0.799,2.446e-03
136.259,-0.809,2.460e-03
136.459,-0.819,2.439e-03
136.659,-0.829,2.458e-03
136.859,-0.839,2.449e-03
137.059,-0.849,2.444e-03
137.259,-0.859,2.461e-03
137.458,-0.869,2.440e-03
137.658,-0.879,2.457e-03
137.858,-0.889,2.451e-03
138.058,-0.899,2.443e-03
138.258,-0.909,2.461e-03
138.458,-0.919,2.440e-03
138.658,-0.929,2.455e-03
138.858,-0.939,2.453e-03
139.057,-0.949,2.442e-03
