time (ms),ω (π/sec),Δθ (π),σ_θ (π),p (Mπ/sec),σ_p (Mπ/sec)
2.49e+02,2.58e+01,-7.87e-07,1.35e-03,2.30e-06,4.25e+01
2.50e+02,2.50e+01,-7.87e-07,1.35e-03,-8.66e-07,4.25e+01
2.51e+02,2.42e+01,-7.87e-07,1.35e-03,-4.01e-06,4.25e+01
2.52e+02,2.34e+01,-7.86e-07,1.35e-03,-7.04e-06,4.25e+01
2.53e+02,2.26e+01,-7.84e-07,1.35e-03,-9.86e-06,4.25e+01
2.54e+02,2.19e+01,-7.81e-07,1.35e-03,-1.24e-05,4.25e+01
2.55e+02,2.11e+01,-7.78e-07,1.35e-03,-1.45e-05,4.25e+01
2.56e+02,2.03e+01,-7.74e-07,1.34e-03,-1.62e-05,4.25e+01
2.57e+02,1.95e+01,-7.69e-07,1.34e-03,-1.74e-05,4.25e+01
2.58e+02,1.88e+01,-7.63e-07,1.34e-03,-1.81e-05,4.25e+01
2.59e+02,1.80e+01,-7.57e-07,1.34e-03,-1.82e-05,4.25e+01
2.60e+02,1.73e+01,-7.49e-07,1.34e-03,-1.76e-05,4.25e+01
2.61e+02,1.65e+01,-7.42e-07,1.34e-03,-1.65e-05,4.25e+01
2.62e+02,1.58e+01,-7.33e-07,1.34e-03,-1.47e-05,4.25e+01
2.63e+02,1.51e+01,-7.24e-07,1.35e-03,-1.24e-05,4.25e+01
2.64e+02,1.44e+01,-7.13e-07,1.35e-03,-9.55e-06,4.25e+01
2.65e+02,1.37e+01,-7.03e-07,1.35e-03,-6.22e-06,4.25e+01
2.66e+02,1.30e+01,-6.91e-07,1.35e-03,-2.47e-06,4.25e+01
2.67e+02,1.23e+01,-6.79e-07,1.35e-03,1.61e-06,4.25e+01
2.68e+02,1.16e+01,-6.66e-07,1.35e-03,5.95e-06,4.25e+01
2.69e+02,1.09e+01,-6.53e-07,1.35e-03,1.05e-05,4.25e+01
2.70e+02,1.03e+01,-6.38e-07,1.35e-03,1.50e-05,4.25e+01
2.71e+02,9.68e+00,-6.23e-07,1.35e-03,1.96e-05,4.25e+01
2.72e+02,9.06e+00,-6.08e-07,1.35e-03,2.40e-05,4.25e+01
2.73e+02,8.47e+00,-5.92e-07,1.35e-03,2.82e-05,4.25e+01
2.74e+02,7.89e+00,-5.75e-07,1.35e-03,3.21e-05,4.25e+01
2.75e+02,7.32e+00,-5.58e-07,1.35e-03,3.56e-05,4.25e+01
2.76e+02,6.78e+00,-5.40e-07,1.35e-03,3.87e-05,4.25e+01
2.77e+02,6.25e+00,-5.21e-07,1.34e-03,4.12e-05,4.25e+01
2.78e+02,5.74e+00,-5.03e-07,1.34e-03,4.32e-05,4.25e+01
2.79e+02,5.25e+00,-4.83e-07,1.34e-03,4.46e-05,4.25e+01
2.80e+02,4.77e+00,-4.63e-07,1.34e-03,4.53e-05,4.25e+01
2.81e+02,4.32e+00,-4.43e-07,1.34e-03,4.54e-05,4.25e+01
2.82e+02,3.89e+00,-4.22e-07,1.34e-03,4.49e-05,4.25e+01
2.83e+02,3.48e+00,-4.01e-07,1.34e-03,4.37e-05,4.25e+01
2.84e+02,3.09e+00,-3.79e-07,1.35e-03,4.20e-05,4.25e+01
2.85e+02,2.72e+00,-3.57e-07,1.35e-03,3.98e-05,4.25e+01
2.86e+02,2.38e+00,-3.35e-07,1.35e-03,3.71e-05,4.25e+01
2.87e+02,2.06e+00,-3.12e-07,1.35e-03,3.41e-05,4.25e+01
2.88e+02,1.76e+00,-2.89e-07,1.35e-03,3.07e-05,4.25e+01
2.89e+02,1.48e+00,-2.66e-07,1.35e-03,2.71e-05,4.25e+01
2.90e+02,1.22e+00,-2.43e-07,1.35e-03,2.34e-05,4.25e+01
2.91e+02,9.93e-01,-2.19e-07,1.35e-03,1.97e-05,4.25e+01
2.92e+02,7.85e-01,-1.95e-07,1.35e-03,1.61e-05,4.25e+01
2.93e+02,6.02e-01,-1.71e-07,1.35e-03,1.26e-05,4.25e+01
2.94e+02,4.43e-01,-1.47e-07,1.35e-03,9.44e-06,4.25e+01
2.95e+02,3.08e-01,-1.23e-07,1.35e-03,6.58e-06,4.25e+01
2.96e+02,1.97e-01,-9.83e-08,1.35e-03,4.12e-06,4.25e+01
2.97e+02,1.11e-01,-7.38e-08,1.35e-03,2.14e-06,4.25e+01
2.98e+02,4.93e-02,-4.92e-08,1.34e-03,6.85e-07,4.25e+01
2.99e+02,1.23e-02,-2.46e-08,1.34e-03,-2.10e-07,4.25e+01
3.00e+02,1.87e-31,6.84e-12,1.34e-03,-5.24e-07,4.25e+01
