time (ms),Δθ (π),σ_θ (π)
114.476,-1.719,3.893e-03
114.676,-1.728,3.763e-03
114.875,-1.743,3.588e-03
115.075,-1.751,3.993e-03
115.275,-1.757,3.525e-03
115.475,-1.771,3.871e-03
115.675,-1.782,3.806e-03
115.875,-1.787,3.575e-03
116.075,-1.800,4.002e-03
116.274,-1.813,3.558e-03
116.474,-1.818,3.847e-03
116.674,-1.828,3.847e-03
116.874,-1.843,3.568e-03
117.074,-1.850,4.006e-03
117.274,-1.857,3.594e-03
117.474,-1.872,3.823e-03
117.674,-1.882,3.885e-03
117.873,-1.887,3.565e-03
118.073,-1.900,4.006e-03
118.273,-1.913,3.632e-03
118.473,-1.918,3.799e-03
118.673,-1.928,3.919e-03
118.873,-1.943,3.567e-03
119.073,-1.950,4.002e-03
119.273,-1.957,3.672e-03
119.472,-1.972,3.776e-03
119.672,-1.981,3.949e-03
119.872,-1.987,3.573e-03
120.072,-2.000,3.994e-03
120.272,-0.012,3.712e-03
120.472,-0.018,3.755e-03
120.672,-0.029,3.974e-03
120.871,-0.043,3.585e-03
121.071,-0.049,3.983e-03
121.271,-0.057,3.752e-03
121.471,-0.072,3.736e-03
121.671,-0.081,3.996e-03
121.871,-0.087,3.601e-03
122.071,-0.101,3.969e-03
122.271,-0.112,3.792e-03
122.470,-0.117,3.719e-03
122.670,-0.129,4.013e-03
122.870,-0.143,3.621e-03
123.070,-0.149,3.954e-03
123.270,-0.158,3.830e-03
123.470,-0.172,3.706e-03
123.670,-0.180,4.026e-03
123.870,-0.187,3.644e-03
124.069,-0.201,3.936e-03
124.269,-0.212,3.866e-03
124.469,-0.217,3.696e-03
124.669,-0.229,4.035e-03
124.869,-0.242,3.670e-03
125.069,-0.248,3.918e-03
125.269,-0.258,3.900e-03
125.468,-0.272,3.690e-03
125.668,-0.280,4.040e-03
125.868,-0.287,3.699e-03
126.068,-0.301,3.900e-03
126.268,-0.311,3.932e-03
126.468,-0.317,3.687e-03
126.668,-0.330,4.042e-03
126.868,-0.342,3.729e-03
127.067,-0.348,3.881e-03
127.267,-0.358,3.961e-03
127.467,-0.372,3.688e-03
127.667,-0.379,4.040e-03
127.867,-0.387,3.761e-03
128.067,-0.402,3.864e-03
128.267,-0.411,3.986e-03
128.467,-0.417,3.693e-03
128.666,-0.430,4.035e-03
128.866,-0.442,3.793e-03
129.066,-0.448,3.847e-03
129.266,-0.459,4.009e-03
129.466,-0.472,3.702e-03
129.666,-0.479,4.028e-03
129.866,-0.487,3.826e-03
130.065,-0.502,3.832e-03
130.265,-0.510,4.028e-03
130.465,-0.517,3.714e-03
130.665,-0.530,4.018e-03
130.865,-0.542,3.858e-03
131.065,-0.547,3.819e-03
131.265,-0.559,4.043e-03
131.465,-0.572,3.729e-03
131.664,-0.578,4.007e-03
131.864,-0.588,3.889e-03
132.064,-0.602,3.809e-03
132.264,-0.610,4.056e-03
132.464,-0.617,3.747e-03
132.664,-0.631,3.995e-03
132.864,-0.641,3.919e-03
133.064,-0.647,3.801e-03
133.263,-0.659,4.065e-03
133.463,-0.672,3.767e-03
133.663,-0.678,3.981e-03
133.863,-0.688,3.947e-03
134.063,-0.702,3.795e-03
134.263,-0.709,4.071e-03
134.463,-0.717,3.789e-03
134.663,-0.731,3.968e-03
134.862,-0.741,3.974e-03
135.062,-0.747,3.793e-03
135.262,-0.760,4.074e-03
135.462,-0.772,3.813e-03
135.662,-0.778,3.954e-03
135.862,-0.788,3.998e-03
136.062,-0.802,3.793e-03
136.261,-0.809,4.074e-03
136.461,-0.817,3.838e-03
136.661,-0.831,3.941e-03
136.861,-0.840,4.020e-03
137.061,-0.847,3.796e-03
137.261,-0.860,4.072e-03
137.461,-0.871,3.863e-03
137.661,-0.877,3.928e-03
137.860,-0.888,4.039e-03
138.060,-0.902,3.802e-03
138.260,-0.908,4.068e-03
138.460,-0.917,3.889e-03
138.660,-0.931,3.916e-03
138.860,-0.940,4.056e-03
139.060,-0.947,3.811e-03
139.260,-0.960,4.063e-03
139.459,-0.971,3.914e-03
139.659,-0.977,3.906e-03
139.859,-0.989,4.071e-03
140.059,-1.002,3.821e-03
140.259,-1.008,4.056e-03
140.459,-1.018,3.940e-03
140.659,-1.031,3.898e-03
140.858,-1.039,4.083e-03
141.058,-1.047,3.834e-03
141.258,-1.060,4.047e-03
141.458,-1.071,3.964e-03
141.658,-1.077,3.891e-03
141.858,-1.089,4.092e-03
142.058,-1.101,3.849e-03
142.258,-1.108,4.038e-03
142.457,-1.118,3.987e-03
142.657,-1.131,3.886e-03
142.857,-1.139,4.099e-03
143.057,-1.147,3.865e-03
143.257,-1.161,4.028e-03
143.457,-1.170,4.009e-03
143.657,-1.177,3.883e-03
143.857,-1.189,4.104e-03
144.056,-1.201,3.883e-03
144.256,-1.207,4.018e-03
144.456,-1.218,4.030e-03
144.656,-1.231,3.882e-03
144.856,-1.239,4.107e-03
145.056,-1.247,3.902e-03
145.256,-1.261,4.009e-03
145.455,-1.270,4.049e-03
145.655,-1.277,3.883e-03
145.855,-1.290,4.108e-03
146.055,-1.301,3.921e-03
146.255,-1.307,3.999e-03
146.455,-1.318,4.067e-03
146.655,-1.331,3.886e-03
146.855,-1.338,4.107e-03
147.054,-1.347,3.941e-03
147.254,-1.361,3.990e-03
147.454,-1.369,4.082e-03
147.654,-1.377,3.891e-03
147.854,-1.390,4.104e-03
148.054,-1.401,3.961e-03
148.254,-1.407,3.982e-03
148.454,-1.419,4.096e-03
148.653,-1.431,3.898e-03
148.853,-1.438,4.100e-03
149.053,-1.447,3.981e-03
149.253,-1.461,3.974e-03
149.453,-1.469,4.108e-03
149.653,-1.477,3.906e-03
149.853,-1.490,4.095e-03
150.052,-1.500,4.001e-03
150.252,-1.507,3.968e-03
150.452,-1.519,4.118e-03
150.652,-1.531,3.916e-03
150.852,-1.537,4.090e-03
151.052,-1.548,4.021e-03
151.252,-1.561,3.963e-03
151.452,-1.569,4.126e-03
151.651,-1.577,3.928e-03
151.851,-1.590,4.083e-03
152.051,-1.600,4.040e-03
152.251,-1.607,3.959e-03
152.451,-1.619,4.133e-03
152.651,-1.631,3.940e-03
152.851,-1.637,4.076e-03
153.051,-1.648,4.058e-03
153.250,-1.661,3.956e-03
153.450,-1.668,4.138e-03
153.650,-1.677,3.954e-03
153.850,-1.690,4.069e-03
154.050,-1.699,4.075e-03
154.250,-1.707,3.955e-03
154.450,-1.719,4.141e-03
154.649,-1.730,3.968e-03
154.849,-1.737,4.061e-03
155.049,-1.748,4.091e-03
155.249,-1.761,3.955e-03
155.449,-1.768,4.143e-03
155.649,-1.777,3.983e-03
155.849,-1.791,4.054e-03
156.049,-1.799,4.106e-03
156.248,-1.807,3.957e-03
156.448,-1.820,4.144e-03
156.648,-1.830,3.999e-03
156.848,-1.837,4.047e-03
157.048,-1.849,4.120e-03
157.248,-1.861,3.960e-03
157.448,-1.867,4.143e-03
157.648,-1.877,4.015e-03
157.847,-1.891,4.040e-03
158.047,-1.899,4.132e-03
158.247,-1.907,3.964e-03
158.447,-1.920,4.141e-03
158.647,-1.930,4.032e-03
158.847,-1.937,4.033e-03
159.047,-1.949,4.143e-03
159.247,-1.960,3.970e-03
159.446,-1.967,4.137e-03
159.646,-1.978,4.048e-03
159.846,-1.991,4.027e-03
160.046,-1.998,4.153e-03
160.246,-0.007,3.976e-03
160.446,-0.020,4.133e-03
160.646,-0.029,4.065e-03
160.845,-0.037,4.021e-03
161.045,-0.049,4.162e-03
161.245,-0.060,3.985e-03
161.445,-0.067,4.128e-03
161.645,-0.078,4.081e-03
